4.400	0.99426	1.79E-03	
4.502	0.99401	1.92E-03	
4.607	0.99375	2.07E-03	
4.714	0.99348	2.22E-03	
4.824	0.99320	2.39E-03	
4.936	0.99291	2.57E-03	
5.050	0.99260	2.77E-03	
5.168	0.99229	2.98E-03	
5.289	0.99197	3.21E-03	
5.412	0.99165	3.46E-03	
5.537	0.99131	3.72E-03	
5.667	0.99097	4.01E-03	
5.799	0.99063	4.32E-03	
5.935	0.99028	4.66E-03	
6.072	0.9899	5.02E-03	
6.215	0.9896	5.41E-03	
6.358	0.9892	5.83E-03	
6.505	0.9889	6.28E-03	
6.659	0.9886	6.78E-03	
6.812	0.9884	7.30E-03	
6.973	0.9882	7.76E-03	
7.134	0.9881	8.21E-03	
7.302	0.9879	8.61E-03	
7.469	0.9878	8.92E-03	
7.644	0.9875	9.18E-03	
7.822	0.9872	9.48E-03	
8.004	0.9868	9.79E-03	
8.189	0.9863	1.02E-02	
8.2		0.9871	7.3E-03	
8.383	0.9859	1.08E-02	
8.4		0.9865	7.6E-03	
8.580	0.9855	1.15E-02	
8.6		0.986	8.1E-03	
8.775	0.9853	1.23E-02	
8.8		0.9855	8.9E-03	
8.984	0.9853	1.29E-02	
9.0		0.9853	9.9E-03	
9.191	0.9853	1.34E-02	
9.2		0.9854	1.07E-02	
9.4		0.9858	1.14E-02	
9.407	0.9854	1.38E-02	
9.6		0.9868	1.11E-02	
9.626	0.9854	1.41E-02	
9.8		0.9872	1.11E-02	
9.848	0.9854	1.43E-02	
10.0	0.9874	9.7E-03	
10.08	0.9855	1.44E-02	
10.2	0.9865	8.5E-03	
10.31	0.9853	1.41E-02	
10.4	0.9851	8.3E-03	
10.55	0.9849	1.39E-02	
10.6	0.9841	9.6E-03		
10.8	0.9848	9.9E-03	
11.0	0.9844	9.0E-03	
11.05	0.9834	1.38E-02	
11.2	0.9822	9.3E-03	
11.30	0.9827	1.39E-02	
11.4	0.9828	1.59E-02	
11.57	0.9819	1.42E-02	
11.6	0.9867	1.06E-02	
11.8	0.9858	7.5E-03	
11.84	0.9813	1.45E-02	
12.0	0.9839	6.5E-03	
12.12	0.9809	1.48E-02	
12.2	0.9823	6.8E-03		
12.4	0.9813	7.0E-03	
12.6	0.9803	7.3E-03	
12.69	0.9792	1.09E-02	
12.8	0.9794	7.6E-03	
12.98	0.9762	1.16E-02	
13.0	0.9789	7.6E-03	
13.2	0.9778	8.3E-03	
13.29	0.9740	1.24E-02	
13.4	0.977	8.7E-03	
13.59	0.9721	1.32E-02	
13.6	0.9761	9.3E-03	
13.8	0.9747	1.03E-02	
13.92	0.9702	1.40E-02
14.23	0.9683	1.49E-02	
14.57	0.9665	1.59E-02	
14.90	0.9646	1.69E-02	
15.0	0.9634	1.99E-02	
15.25	0.9627	1.80E-02	
15.62	0.9608	1.92E-02	
15.98	0.9588	2.04E-02	
16.0	0.9608	2.26E-02	
16.34	0.9568	2.18E-02	
16.73	0.9547	2.32E-02	
17.0	0.9562	2.44E-02	
17.12	0.9525	2.46E-02	
17.51	0.9503	2.62E-02	
17.92	0.9481	2.79E-02	
18.0	0.9509	2.81E-02	
18.34	0.9457	2.97E-02	
18.76	0.9434	3.16E-02	
19.0	0.9458	3.35E-02	
19.19	0.9409	3.37E-02	
19.65	0.9384	3.59E-02	
20.0	0.9416	3.74E-02	
20.09	0.9359	3.82E-02	
20.56	0.9333	4.07E-02	
21.0	0.9386	4.37E-02	
21.05	0.9307	4.33E-02	
21.56	0.9279	4.61E-02	
22.0	0.9328	4.62E-02	
22.06	0.9252	4.91E-02	
22.54	0.9224	5.23E-02	
23.0	0.9271	5.2E-02	
23.09	0.9196	5.56E-02	
23.62	0.9168	5.92E-02	
24.0	0.9222	5.78E-02	
24.17	0.9140	6.31E-02	
25.0	0.9164	6.5E-02	
26.0	0.9105	7.26E-02	
27.0	0.9207	6.8E-02	
28.0	0.9175	7.5E-02	
29.0	0.9137	8.2E-02	
30.0	0.913	9.0E-02	
31.0	0.907	9.2E-02	
32.0	0.901	9.4E-02	
33.0	0.895	9.8E-02	
34.0	0.888	0.107	
35.0	0.882	0.113	
36.0	0.877	0.120	
37.0	0.870	0.128	
38.0	0.866	0.137	
39.0	0.858	0.144	
