0.01240		0.9990		1.29E-6
0.01550		1.000		2.92E-6
0.02066		1.002		8.36E-6
0.02480		1.001		1.52E-5
0.02755		1.001		2.21E-5
0.03099		1.003		3.57E-5
0.03444		1.003		3.24E-5
0.03542		1.003		1.72E-5
0.04133		1.001		1.43E-5
0.04959		1.001		2.40E-5
0.06199		1.001		4.72E-5
0.08265		0.999		1.21E-4
0.1240		0.998		5.23E-4
0.1550		0.997		1.08E-3
0.1675		0.998		1.42E-3
0.2066		0.997		2.69E-3
0.2480		0.997		4.57E-3
0.3099		0.998		8.82E-3
0.3351		1.007		8.23E-3
0.3542		1.001		1.68E-3
0.4133		0.996		2.32E-3
0.4428		0.994		2.70E-3
0.4768		0.992		3.11E-3
0.5166		0.989		3.50E-3
0.5635		0.987		3.45E-3
0.6199		0.982		3.77E-3
0.6888		0.978		4.31E-3
0.7293		0.973		4.42E-3
0.7749		0.968		4.38E-3
0.8265		0.963		4.07E-3
0.8856		0.955		3.54E-3
0.9537		0.943		3.66E-3
1.033		0.926		6.22E-3
1.127		0.902		1.72E-2
1.181		0.890		2.61E-2
1.240		0.876		3.82E-2
1.305		0.861		5.65E-2
1.378		0.849		8.24E-2
1.459		0.846		0.111
1.550		0.848		0.139
1.589		0.851		0.149
1.631		0.853		0.158
1.675		0.853		0.166
1.722		0.851		0.181
1.771		0.859		0.197
1.823		0.871		0.208
1.878		0.883		0.211
1.937		0.885		0.210
2.000		0.881		0.211
2.066		0.873		0.221
2.138		0.868		0.237
2.214		0.871		0.259
2.296		0.885		0.274
2.339		0.890		0.275
2.384		0.889		0.276
2.431		0.886		0.281
2.480		0.884		0.290
2.530		0.885		0.300
2.583		0.888		0.309
2.638		0.893		0.317
2.695		0.896		0.323
2.818		0.899		0.334
2.952		0.897		0.349
3.099		0.896		0.368
3.179		0.895		0.378
3.263		0.892		0.388
3.351		0.885		0.400
3.444		0.876		0.418
3.542		0.865		0.454
3.646		0.879		0.489
3.757		0.899		0.514
3.874		0.921		0.528
3.999		0.932		0.534
4.132		0.931		0.541
4.275		0.919		0.557
4.350		0.911		0.572
4.428		0.902		0.590
4.508		0.851		0.616
4.592		0.886		0.650
4.679		0.886		0.421
4.769		0.887		0.444
4.862		0.891		0.468
5.061		0.906		0.522
5.276		0.943		0.584
5.391		0.980		0.614
5.510		1.029		0.624
5.636		1.075		0.615
5.767		1.104		0.584
5.904		1.109		0.561
6.048		1.105		0.549
6.199		1.098		0.548
6.526		1.096		0.565
6.888		1.101		0.593
7.293		1.121		0.635
7.749		1.167		0.676
7.999		1.202		0.691
8.266		1.243		0.693
8.551		1.281		0.679
8.856		1.308		0.656
9.184		1.322		0.628
9.537		1.322		0.603
9.919		1.315		0.588
010.25		1.308		0.581
010.51		1.304		0.578
010.78		1.300		0.573
011.07		1.293		0.566
011.37		1.280		0.560
011.70		1.265		0.560
012.04		1.252		0.564
012.40		1.241		0.568
012.78		1.229		0.566
013.48		1.182		0.550
013.78		1.149		0.552
014.09		1.112		0.563
014.42		1.073		0.581
014.76		1.032		0.610
015.12		0.993		0.653
015.50		0.962		0.706
015.90		0.940		0.770
016.31		0.935		0.832
016.75		0.936		0.892
017.22		0.942		0.951
017.71		0.953		1.01
018.23		0.969		1.07
018.79		0.995		1.13
019.37		1.028		1.18
019.68		1.048		1.21
020.00		1.072		1.24
020.33		1.098		1.26
020.66		1.125		1.27
021.38		1.173		1.29
022.14		1.208		1.30
022.96		1.238		1.31
023.84		1.265		1.33
024.80		1.298		1.35
025.30		1.320		1.35
025.83		1.343		1.35
026.38		1.372		1.35
026.95		1.404		1.33
027.55		1.441		1.31
028.18		1.476		1.26
028.83		1.502		1.19
029.52		1.519		1.08
029.88		1.522		0.992
030.24		1.496		0.882
030.61		1.432		0.766
031.00		1.323		0.647
031.15		1.246		0.586
031.39		1.149		0.540
031.55		1.044		0.514
031.79		0.932		0.504
031.95		0.815		0.526
032.20		0.708		0.565
032.37		0.616		0.609
032.63		0.526		0.663
033.06		0.371		0.813
033.24		0.321		0.902
033.51		0.294		0.986
033.97		0.259		1.12
034.44		0.238		1.24
035.42		0.209		1.44
036.47		0.186		1.61
037.57		0.200		1.67
038.75		0.192		1.81
040.00		0.173		1.95
041.33		0.173		2.11
042.75		0.160		2.26
044.28		0.157		2.40
045.92		0.144		2.56
047.69		0.132		2.72
049.59		0.130		2.88
