195.3	1.583	2.12
206.6	1.4342	2.112
208.7	1.401	2.085
210.1	1.383	2.084
212.3	1.35	2.089
213.8	1.333	2.102
216	1.306	2.135
221.4	1.276	2.248
225.4	1.282	2.344
227.9	1.297	2.407
229.6	1.312	2.449
232.2	1.341	2.514
233.9	1.366	2.555
236.6	1.408	2.612
238.4	1.436	2.646
241.2	1.469	2.694
243.1	1.484	2.732
246	1.505	2.807
248	1.524	2.871
249	1.535	2.907
250	1.55	2.946
251	1.566	2.988
253	1.608	3.081
255.1	1.668	3.182
257.2	1.751	3.291
259.4	1.866	3.404
261.6	2.019	3.504
263.8	2.204	3.575
266.1	2.407	3.604
268.4	2.609	3.596
270.7	2.799	3.564
273.1	2.99	3.519
275.5	3.194	3.445
278	3.399	3.32
281.8	3.644	3.042
284.4	3.742	2.814
287	3.77	2.584
288.3	3.761	2.478
291	3.715	2.297
295.2	3.615	2.099
298	3.545	2.005
300.9	3.48	1.933
303.9	3.419	1.877
306.9	3.364	1.833
314.7	3.246	1.761
322.9	3.158	1.726
335.1	3.069	1.715
350.2	3.015	1.742
364.7	3.004	1.79
382.7	3.035	1.868
394.9	3.083	1.929
413.3	3.197	2.034
418.9	3.244	2.069
424.6	3.302	2.108
433.5	3.425	2.174
442.8	3.626	2.208
449.2	3.776	2.153
455.8	3.878	2.06
466.1	3.956	1.943
476.9	4.021	1.885
488.1	4.168	1.879
499.9	4.437	1.686
516.6	4.466	1.283
529.9	4.389	1.086
543.8	4.303	0.951
558.5	4.224	0.85
579.4	4.131	0.75
596.1	4.068	0.694
607.8	4.031	0.661
626.2	3.979	0.619
645.8	3.932	0.582
659.5	3.902	0.564
681.2	3.862	0.539
696.5	3.839	0.523
712.6	3.817	0.508
738	3.788	0.486
756	3.77	0.475
774.9	3.755	0.463
794.8	3.735	0.458
815.7	3.72	0.444
826.6	3.714	0.432
885.6	3.696	0.4
1033	3.613	0.33
1240	3.548	0.265
1378	3.516	0.237
1459	3.513	0.232
1550	3.512	0.21
1653	3.51	0.191
1771	3.5	0.183
1907	3.495	0.167
