400.0		1.658		1.956
413.3		1.636		1.958
427.5		1.616		1.940
442.8		1.562		1.904
459.2		1.426		1.846
476.9		1.242		1.796
495.9		0.916		1.840
516.6		0.608		2.120
539.1		0.402		2.540
563.6		0.306		2.88
652.6		0.166		3.15
688.8		0.160		3.80
729.3		0.164		4.35
774.9		0.174		4.86
826.6		0.188		5.39
885.6		0.210		5.88
953.7		0.236		6.47
1033		0.272		7.07
1127		0.312		7.93
1240		0.372		8.77
1265		0.389		8.09
1291		0.403		8.25
1319		0.419		8.42
1384		0.436		8.59
1378		0.454		8.77
1409		0.473		8.96
1442		0.493		9.15
1476		0.515		9.36
1512		0.537		9.58
1550		0.559		9.81
1590		0.583		10.1
1631		0.609		10.3
1675		0.636		10.6
1722		0.665		10.9
1771		0.696		11.2
1823		0.730		11.5
1879		0.767		11.9
1937		0.807		12.2
2000		0.850		12.6
2066		0.896		13.0
2138		0.947		13.4
2214		1.002		13.9
2296		1.063		14.4
2384		1.130		14.9
2480		1.205		15.5
2583		1.287		16.1
2695		1.379		16.8
2818		1.482		17.5
2952		1.598		18.3
3100		1.728		19.2
3179		1.800		19.7
3263		1.876		20.2
3351		1.958		20.7
3444		2.046		21.3
3542		2.141		21.9
2647		2.242		22.5
3757		2.352		23.1
3875		2.471		23.9
4000		2.600		24.6
4133		2.749		25.4
4275		2.912		26.3
4428		3.091		27.2
4592		3.289		28.2
4769		3.507		29.3
4959		3.748		30.5
5166		4.007		31.7
5391		4.292		32.9
5636		4.611		34.3
5904		4.971		35.9
6199		5.423		37.5
6358		5.684		38.3
6526		5.966		39.1
6702		6.270		40.1
6888		6.598		41.0
7085		6.937		42.0
7293		7.282		43.0
7514		7.655		44.1
7749		8.060		45.2
7999		8.500		46.4
8266		9.016		47.6
8551		9.582		48.8
8856		10.21		50.2
9184		10.84		51.6
9537		11.51		53.1
9919		12.24		54.7
