206.6	1.834
210.1	1.833664
213.8	1.833552
217.5	1.833608
221.4	1.833776
225.4	1.834
229.6	1.834224
233.9	1.834392
238.4	1.834448
243.1	1.834336
248.0	1.834
253.0	1.833256
258.3	1.832208
263.8	1.830832
269.5	1.829104
275.5	1.827
281.8	1.823984
288.3	1.820672
295.2	1.817168
302.4	1.813576
310.0	1.81
317.9	1.806992
326.3	1.804096
335.1	1.801304
344.4	1.798608
354.2	1.796
364.7	1.793408
375.7	1.790904
387.5	1.788496
399.9	1.786192
413.3	1.784
427.5	1.782024
442.8	1.780152
459.2	1.778368
476.9	1.776656
495.9	1.775
516.6	1.773352
539.1	1.771736
563.6	1.770144
590.4	1.768568
619.9	1.767
652.5	1.7654
688.8	1.7638
729.3	1.7622
774.9	1.7606
826.6	1.759
885.6	1.7574
953.7	1.7558
1033.0	1.7542
1127.0	1.7526
1240.0	1.751
1378.0	1.749
1550.0	1.746
1771.0	1.742
2066.0	1.736
2480.0	1.726

